Date,Close,% Change,Delta_MM,Raised,Next Raised
2025-02-12 00:00:00+00:00,97885.859375,2.233406885677658,-2077.7293154761865,1,0.0
2025-02-13 00:00:00+00:00,96623.8671875,-1.2892487184132717,-1601.4058779761835,0,1.0
2025-02-14 00:00:00+00:00,97508.96875,0.9160278803397981,-979.6668898809585,1,1.0
2025-02-15 00:00:00+00:00,97580.3515625,0.07320640697474623,-501.17946428571304,1,0.0
2025-02-16 00:00:00+00:00,96175.03125,-1.4401672980240199,-248.89196428570722,0,0.0
2025-02-17 00:00:00+00:00,95773.3828125,-0.41762236235300954,-358.924553571429,0,0.0
2025-02-18 00:00:00+00:00,95539.546875,-0.24415545387781457,2.4362351190502523,0,1.0
2025-02-19 00:00:00+00:00,96635.609375,1.1472343504350446,-93.75684523809468,1,1.0
2025-02-20 00:00:00+00:00,98333.9375,1.7574558032842136,35.97276785715076,1,0.0
2025-02-21 00:00:00+00:00,96125.546875,-2.245807176184722,-130.47559523809468,0,1.0
2025-02-22 00:00:00+00:00,96577.7578125,0.47043783073406065,-276.94806547618646,1,0.0
2025-02-23 00:00:00+00:00,96273.921875,-0.31460239332733453,-248.9187499999971,0,0.0
2025-02-24 00:00:00+00:00,91418.171875,-5.043681513571874,-532.296949404772,0,0.0
2025-02-25 00:00:00+00:00,88736.171875,-2.9337712021491935,-924.1154761904763,0,0.0
2025-02-26 00:00:00+00:00,84347.0234375,-4.94629004695274,-1919.6006696428522,0,1.0
2025-02-27 00:00:00+00:00,84704.2265625,0.4234922709094535,-2987.9267113095266,1,0.0
2025-02-28 00:00:00+00:00,84373.0078125,-0.3910297790814532,-3850.1369047618937,0,1.0
2025-03-01 00:00:00+00:00,86031.9140625,1.9661575342751147,-4591.549032738098,1,1.0
2025-03-02 00:00:00+00:00,94248.3515625,9.550452979612857,-4658.782886904766,1,0.0
2025-03-03 00:00:00+00:00,86065.671875,-8.682040111941614,-4749.468452380956,0,1.0
2025-03-04 00:00:00+00:00,87222.1953125,1.3437685575495406,-4395.671651785713,1,1.0
2025-03-05 00:00:00+00:00,90623.5625,3.899657851208138,-3171.2909226190386,1,0.0
2025-03-06 00:00:00+00:00,89961.7265625,-0.7303133084179958,-1975.293973214284,0,0.0
2025-03-07 00:00:00+00:00,86742.671875,-3.57824911826653,-864.0194940476213,0,0.0
2025-03-08 00:00:00+00:00,86154.59375,-0.6779571257010009,-181.7636160714319,0,0.0
2025-03-09 00:00:00+00:00,80601.0390625,-6.44603432710168,-1066.2651041666686,0,0.0
2025-03-10 00:00:00+00:00,78532.0,-2.567012890361897,-959.7091517857043,0,1.0
2025-03-11 00:00:00+00:00,82862.2109375,5.513944554449135,-1012.1666666666715,1,1.0
2025-03-12 00:00:00+00:00,83722.359375,1.0380466895202334,-1663.7986607142957,1,0.0
2025-03-13 00:00:00+00:00,81066.703125,-3.17197970748182,-2715.828273809515,0,1.0
2025-03-14 00:00:00+00:00,83969.1015625,3.580259620308812,-3063.0442708333285,1,1.0
2025-03-15 00:00:00+00:00,84343.109375,0.44541123525254633,-3319.8345238095208,1,0.0
2025-03-16 00:00:00+00:00,82579.6875,-2.0907717157540473,-2807.0220238095208,0,1.0
2025-03-17 00:00:00+00:00,84075.6875,1.8115835083536647,-1336.8890625000058,1,0.0
2025-03-18 00:00:00+00:00,82718.5,-1.6142449028442418,-1134.2744047619053,0,1.0
2025-03-19 00:00:00+00:00,86854.2265625,4.9997601050550955,-662.33355654763,1,0.0
2025-03-20 00:00:00+00:00,84167.1953125,-3.093725379117185,211.01837797618646,0,0.0
2025-03-21 00:00:00+00:00,84043.2421875,-0.14727011460912154,616.1755208333343,0,0.0
2025-03-22 00:00:00+00:00,83832.484375,-0.25077306278807887,737.2415922618966,0,1.0
2025-03-23 00:00:00+00:00,86054.375,2.6503933905394295,1240.3067708333401,1,1.0
2025-03-24 00:00:00+00:00,87498.9140625,1.6786352378946434,1269.4808035714377,1,0.0
2025-03-25 00:00:00+00:00,87471.703125,-0.031098600241552532,1352.5296130952338,0,0.0
2025-03-26 00:00:00+00:00,86900.8828125,-0.652577110204744,1089.949999999997,0,1.0
2025-03-27 00:00:00+00:00,87177.1015625,0.3178549412391707,1289.6204613095179,1,0.0
2025-03-28 00:00:00+00:00,84353.1484375,-3.2393289916566204,1114.7964285714406,0,0.0
2025-03-29 00:00:00+00:00,82597.5859375,-2.0812056603918605,1029.8167410714377,0,0.0
2025-03-30 00:00:00+00:00,82334.5234375,-0.3184869109843613,632.3151041666715,0,1.0
2025-03-31 00:00:00+00:00,82548.9140625,0.26038970780313253,-72.77619047618646,1,1.0
2025-04-01 00:00:00+00:00,85169.171875,3.17418810684309,-474.6081845238077,1,0.0
2025-04-02 00:00:00+00:00,82485.7109375,-3.1507420800550134,-1089.8277529761835,0,1.0
2025-04-03 00:00:00+00:00,83102.828125,0.7481504135517403,-1421.773586309515,1,1.0
2025-04-04 00:00:00+00:00,83843.8046875,0.8916382019940938,-1472.9776041666628,1,0.0
2025-04-05 00:00:00+00:00,83504.796875,-0.4043325726492686,-1307.479687500003,0,0.0
2025-04-06 00:00:00+00:00,78214.484375,-6.3353396427263675,-1521.523363095228,0,1.0
2025-04-07 00:00:00+00:00,79235.3359375,1.305195029613082,-1540.2890625,1,0.0
2025-04-08 00:00:00+00:00,76271.953125,-3.739976334343409,-2062.856249999997,0,1.0
2025-04-09 00:00:00+00:00,82573.953125,8.26253916648998,-1723.7335565476242,1,0.0
2025-04-10 00:00:00+00:00,79626.140625,-3.56990599146636,-1735.4203869047633,0,1.0
2025-04-11 00:00:00+00:00,83404.8359375,4.745546227457886,-1546.6458333333285,1,1.0
2025-04-12 00:00:00+00:00,85287.109375,2.256791727173346,-1354.293824404769,1,0.0
2025-04-13 00:00:00+00:00,83684.9765625,-1.878516957885823,-645.2876488095208,0,1.0
2025-04-14 00:00:00+00:00,84542.390625,1.0245734631468162,-34.328125,1,0.0
2025-04-15 00:00:00+00:00,83668.9921875,-1.033089354397465,947.7198660714348,0,1.0
2025-04-16 00:00:00+00:00,84033.8671875,0.4360934564412222,1231.9659970238135,1,1.0
2025-04-17 00:00:00+00:00,84895.75,1.025637449930672,1824.0980654761952,1,0.0
2025-04-18 00:00:00+00:00,84450.8046875,-0.5241078764249063,1883.6570684523758,0,1.0
2025-04-19 00:00:00+00:00,85063.4140625,0.7254038339443714,1770.393303571429,1,1.0
2025-04-20 00:00:00+00:00,85174.3046875,0.13036230231544543,1871.85394345237,1,1.0
2025-04-21 00:00:00+00:00,87518.90625,2.7527099529631727,1676.775669642855,1,1.0
2025-04-22 00:00:00+00:00,93441.890625,6.767662701452015,2125.800372023805,1,1.0
2025-04-23 00:00:00+00:00,93699.109375,0.27527134594511615,2344.73883928571,1,1.0
2025-04-24 00:00:00+00:00,93943.796875,0.26114175645013393,2879.3273809523816,1,1.0
2025-04-25 00:00:00+00:00,94720.5,0.8267742531563593,3340.136086309518,1,0.0
2025-04-26 00:00:00+00:00,94646.9296875,-0.07767095032226168,3959.736830357142,0,0.0
2025-04-27 00:00:00+00:00,93754.84375,-0.942540809771053,4621.012499999997,0,1.0
2025-04-28 00:00:00+00:00,94978.75,1.3054325526514532,4933.7862351190415,1,0.0
2025-04-29 00:00:00+00:00,94284.7890625,-0.7306486319308303,4404.707068452379,0,0.0
2025-04-30 00:00:00+00:00,94207.3125,-0.08217291810309613,3774.7528273809585,0,1.0
2025-05-01 00:00:00+00:00,96492.3359375,2.425526614507767,3308.2652529761835,1,1.0
2025-05-02 00:00:00+00:00,96910.0703125,0.43291974532626565,2820.106324404769,1,0.0
2025-05-03 00:00:00+00:00,95891.796875,-1.0507405827035687,2235.2116815476184,0,0.0
2025-05-04 00:00:00+00:00,94315.9765625,-1.6433317174712747,1698.536011904769,0,1.0
2025-05-05 00:00:00+00:00,94748.0546875,0.45811763897039004,1027.3295386904792,1,1.0
2025-05-06 00:00:00+00:00,96802.4765625,2.168299794413664,768.0944940476184,1,1.0
